timestamp_utc,host,user,event_id,log_channel,source_ip,process_name,command_line,outcome,details
2024-03-04 08:15:23,WKS-001,john.smith,4624,Security,10.10.1.50,winlogon.exe,,Success,Normal user logon - Logon Type 2
2024-03-04 08:16:45,WKS-001,john.smith,4688,Security,,explorer.exe,C:\Windows\explorer.exe,Success,Normal process creation
2024-03-04 08:18:12,WKS-002,sarah.jones,4624,Security,10.10.1.51,winlogon.exe,,Success,Normal user logon - Logon Type 2
2024-03-04 08:20:34,WKS-002,sarah.jones,4688,Security,,outlook.exe,C:\Program Files\Microsoft Office\Outlook.exe,Success,Normal process creation
2024-03-04 08:25:11,DC-01,SYSTEM,4688,Security,,svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,Success,Normal system process
2024-03-04 08:30:45,WKS-003,mike.wilson,4624,Security,10.10.1.52,winlogon.exe,,Success,Normal user logon - Logon Type 2
2024-03-04 08:32:18,WKS-003,mike.wilson,4688,Security,,chrome.exe,C:\Program Files\Google\Chrome\chrome.exe,Success,Normal process creation
2024-03-04 08:45:22,WKS-001,john.smith,4688,Security,,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Success,Normal PowerShell usage
2024-03-04 09:12:34,DC-01,admin,4624,Security,10.10.1.100,winlogon.exe,,Success,Admin logon to domain controller
2024-03-04 09:15:47,DC-01,admin,4672,Security,10.10.1.100,,,Success,Special privileges assigned to admin
2024-03-04 09:18:23,WKS-002,sarah.jones,4688,Security,,excel.exe,C:\Program Files\Microsoft Office\Excel.exe,Success,Normal process creation
2024-03-04 09:25:11,WKS-001,john.smith,4769,Security,10.10.1.50,,,Success,Kerberos service ticket request - Normal
2024-03-04 09:30:45,WKS-003,mike.wilson,4688,Security,,teams.exe,C:\Program Files\Microsoft Teams\Teams.exe,Success,Normal process creation
2024-03-04 10:05:12,WKS-001,john.smith,4625,Security,192.168.100.50,,,Failure,Failed logon attempt - Wrong password
2024-03-04 10:15:34,WKS-002,sarah.jones,4624,Security,10.10.1.51,winlogon.exe,,Success,Normal user activity
2024-03-04 10:22:18,DC-01,SYSTEM,4688,Security,,lsass.exe,C:\Windows\System32\lsass.exe,Success,Normal LSASS process
2024-03-04 10:45:23,WKS-001,contractor_temp,4624,Security,203.0.113.45,winlogon.exe,,Success,External contractor VPN logon - Logon Type 10
2024-03-04 10:46:15,WKS-001,contractor_temp,4672,Security,203.0.113.45,,,Success,Special privileges assigned
2024-03-04 10:47:32,WKS-001,contractor_temp,4688,Security,,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass,Success,PowerShell with bypass policy
2024-03-04 10:48:45,WKS-001,contractor_temp,4688,Security,,rundll32.exe,rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump,Success,Suspicious rundll32 usage
2024-03-04 10:49:12,WKS-001,contractor_temp,4656,Security,,lsass.exe,,Success,Handle requested to LSASS process
